player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Marc Roca,Real Betis,La Liga,2025-2026,29,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0
Marc-André ter Stegen,Girona,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marc-Oliver Kempf,Como,Serie A,2025-2026,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Marcel Sabitzer,Dortmund,Bundesliga,2025-2026,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Marco Bizot,Aston Villa,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
Marco Brescianini,Atalanta,Serie A,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Marco Brescianini,Fiorentina,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0
Marco Carnesecchi,Atalanta,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Marco Esteban,Oviedo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marco Friedl,Werder Bremen,Bundesliga,2025-2026,24,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,9,1
Marco Grüll,Werder Bremen,Bundesliga,2025-2026,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,5,0
Marco Palestra,Cagliari,Serie A,2025-2026,35,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,3,0
Marco Silvestri,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marcos Alonso,Celta Vigo,La Liga,2025-2026,24,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,0
Marcos Llorente,Atlético Madrid,La Liga,2025-2026,40,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,7,1
Marcos Senesi,Bournemouth,Premier League,2025-2026,31,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8,0
Marcus Edwards,Burnley,Premier League,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Marcus Pedersen,Torino,Serie A,2025-2026,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0
Marcus Rashford,Barcelona,La Liga,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Marcus Tavernier,Bournemouth,Premier League,2025-2026,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,0
Marcus Thuram,Inter,Serie A,2025-2026,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2,0
Marcão,Sevilla,La Liga,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,1
Mariano,Alavés,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Mariano Troilo,Parma,Serie A,2025-2026,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,8,2
Marin Ljubicic,Union Berlin,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Marin Pongračić,Fiorentina,Serie A,2025-2026,17,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,0
Mario Gila,Lazio,Serie A,2025-2026,34,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,1
Mario Götze,Eintracht Frankfurt,Bundesliga,2025-2026,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Mario Hermoso,Roma,Serie A,2025-2026,20,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,9,0
Mario Martín,Getafe,La Liga,2025-2026,32,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,11,0
Mario Pašalić,Atalanta,Serie A,2025-2026,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Mario Sauer,Toulouse,Ligue 1,2025-2026,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Marius Broholm,Lille,Ligue 1,2025-2026,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Marius Bülter,Köln,Bundesliga,2025-2026,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Marius Courcoul,Angers,Ligue 1,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Marius Louer,Angers,Ligue 1,2025-2026,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Marius Marin,Pisa,Serie A,2025-2026,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,7,0
Marius Wolf,Augsburg,Bundesliga,2025-2026,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Mark Flekken,Leverkusen,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Mark McKenzie,Toulouse,Ligue 1,2025-2026,30,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,7,1
Marko Dmitrović,Espanyol,La Liga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marnon Busch,Heidenheim,Bundesliga,2025-2026,24,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Maroan Sannadi,Athletic Club,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Marquinhos,Paris Saint-Germain,Ligue 1,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Marshall Munetsi,Paris FC,Ligue 1,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
Marshall Munetsi,Wolves,Premier League,2025-2026,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Marten de Roon,Atalanta,Serie A,2025-2026,43,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8,1
Martial Godo,Strasbourg,Ligue 1,2025-2026,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Martijn Kaars,St Pauli,Bundesliga,2025-2026,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Martim Neto,Elche,La Liga,2025-2026,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Martin Baturina,Como,Serie A,2025-2026,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0
Martin Dúbravka,Burnley,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Martin Frese,Hellas Verona,Serie A,2025-2026,52,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,8,0
Martin Nogoto Bley,Lorient,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Martin Satriano,Getafe,La Liga,2025-2026,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,0
Martin Satriano,Lyon,Ligue 1,2025-2026,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Martin Terrier,Leverkusen,Bundesliga,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Martin Valjent,Mallorca,La Liga,2025-2026,32,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6,0
Martin Vitík,Bologna,Serie A,2025-2026,22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,0
Martin Ødegaard,Arsenal,Premier League,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Martín Payero,Cremonese,Serie A,2025-2026,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,8,0
Martín Zubimendi,Arsenal,Premier League,2025-2026,39,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,0
Marvin Friedrich,Gladbach,Bundesliga,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Marvin Pieringer,Heidenheim,Bundesliga,2025-2026,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2,0
Marvin Schwäbe,Köln,Bundesliga,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
Marvin Senaya,Auxerre,Ligue 1,2025-2026,31,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,0
Mason Greenwood,Marseille,Ligue 1,2025-2026,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Mason Mount,Manchester Utd,Premier League,2025-2026,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Massimo Pessina,Bologna,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mateo Joseph,Mallorca,La Liga,2025-2026,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Mateo Kovačić,Manchester City,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mateo Pellegrino,Parma,Serie A,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,5,0
Mateu Morey,Mallorca,La Liga,2025-2026,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Mateus Fernandes,West Ham United,Premier League,2025-2026,62,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,7,0
Mateus Lusuardi,Pisa,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Mateus Mane,Wolves,Premier League,2025-2026,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0
Matheo Raab,Union Berlin,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matheus Cunha,Manchester Utd,Premier League,2025-2026,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0
Matheus Nunes,Manchester City,Premier League,2025-2026,41,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,0
Mathew Ryan,Levante,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
Mathias Honsak,Heidenheim,Bundesliga,2025-2026,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Mathias Jensen,Brentford,Premier League,2025-2026,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Mathias Løvik,Parma,Serie A,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Mathias Pereira Lage,St Pauli,Bundesliga,2025-2026,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3,0
Mathias Rasmussen,St Pauli,Bundesliga,2025-2026,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Mathieu Acapandié,Nantes,Ligue 1,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Mathieu Cafaro,Paris FC,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Mathieu Gorgelin,Lens,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mathis Albert,Dortmund,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Mathis Amougou,Strasbourg,Ligue 1,2025-2026,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Mathis Jangeal,Paris Saint-Germain,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Mathis Saka,Toulouse,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Mathys De Carvalho,Lyon,Ligue 1,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Mathys Silestrie,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mathys Tel,Tottenham Hotspur,Premier League,2025-2026,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Mathías Olivera,Napoli,Serie A,2025-2026,22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Matias Fernandez-Pardo,Lille,Ligue 1,2025-2026,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,0
Matias Moreno,Levante,La Liga,2025-2026,25,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,0
Mats Wieffer,Brighton,Premier League,2025-2026,41,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,8,0
Matt Doherty,Wolves,Premier League,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,0
Matt O'Riley,Brighton,Premier League,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Matt O'Riley,Marseille,Ligue 1,2025-2026,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Matteo Bianchetti,Cremonese,Serie A,2025-2026,29,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Matteo Cancellieri,Lazio,Serie A,2025-2026,25,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,6,0
Matteo Darmian,Inter,Serie A,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Matteo Gabbia,Milan,Serie A,2025-2026,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,0
Matteo Lavelli,Inter,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matteo Palma,Udinese,Serie A,2025-2026,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Matteo Politano,Napoli,Serie A,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Matteo Prati,Cagliari,Serie A,2025-2026,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0
Matteo Prati,Torino,Serie A,2025-2026,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Matteo Ruggeri,Atlético Madrid,La Liga,2025-2026,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0
Matthias Ginter,Freiburg,Bundesliga,2025-2026,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Matthieu Udol,Lens,Ligue 1,2025-2026,21,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,0
Matthijs de Ligt,Manchester Utd,Premier League,2025-2026,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Matthis Abline,Nantes,Ligue 1,2025-2026,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6,0
Mattia Felici,Cagliari,Serie A,2025-2026,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Mattia Mosconi,Inter,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Mattia Perin,Juventus,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mattia Viti,Fiorentina,Serie A,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,1
Mattia Zaccagni,Lazio,Serie A,2025-2026,21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,1
Mattias Svanberg,Wolfsburg,Bundesliga,2025-2026,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,1
Matty Cash,Aston Villa,Premier League,2025-2026,32,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,0
Mattéo Guendouzi,Lazio,Serie A,2025-2026,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,1
Mattéo Tramoni,Pisa,Serie A,2025-2026,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Matvei Safonov,Paris Saint-Germain,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matz Sels,Nottingham Forest,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Matìas Soulé,Roma,Serie A,2025-2026,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Matías Dituro,Elche,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Matías Pérez,Lecce,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matías Vecino,Celta Vigo,La Liga,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Matías Vecino,Lazio,Serie A,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Mauro Arambarri,Getafe,La Liga,2025-2026,42,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,5,0
Max Alleyne,Manchester City,Premier League,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Max Dowman,Arsenal,Premier League,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Max Finkgräfe,RB Leipzig,Bundesliga,2025-2026,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
Max Kilman,West Ham United,Premier League,2025-2026,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,0
Max Moerstedt,Hoffenheim,Bundesliga,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Max Oyedele,Strasbourg,Ligue 1,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Max Rosenfelder,Freiburg,Bundesliga,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Max Weiß,Burnley,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Maxence Caqueret,Como,Serie A,2025-2026,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Maxence Lacroix,Crystal Palace,Premier League,2025-2026,38,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,4,1
Maxim De Cuyper,Brighton,Premier League,2025-2026,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Maxim Leitsch,Mainz 05,Bundesliga,2025-2026,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Maxima Goffi,Lille,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Maxime Colin,Metz,Ligue 1,2025-2026,30,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Maxime Dupé,Nice,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Maxime Estève,Burnley,Premier League,2025-2026,24,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Maxime Lopez,Paris FC,Ligue 1,2025-2026,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,11,0
Maximilian Arnold,Wolfsburg,Bundesliga,2025-2026,15,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,0
Maximilian Beier,Dortmund,Bundesliga,2025-2026,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0
Maximilian Eggestein,Freiburg,Bundesliga,2025-2026,34,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Maximilian Mittelstädt,Stuttgart,Bundesliga,2025-2026,42,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,0
Maximilian Philipp,Freiburg,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Maximilian Wöber,Werder Bremen,Bundesliga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Maxwel Cornet,Genoa,Serie A,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Mayckel Lahdo,Nantes,Ligue 1,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Maycon Cardozo,Bayern Munich,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mbwana Samatta,Le Havre,Ligue 1,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,4,0
Medon Berisha,Lecce,Serie A,2025-2026,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0
Mehdi Léris,Pisa,Serie A,2025-2026,35,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,0
Melker Ellborg,Sunderland,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Melvin Bard,Nice,Ligue 1,2025-2026,29,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Melvin Zinga,Angers,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Merlin Röhl,Everton,Premier League,2025-2026,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0
Merlin Röhl,Freiburg,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Mert Kömür,Augsburg,Bundesliga,2025-2026,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,0
Mezian Soares,Lens,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Michael Amir Murillo,Marseille,Ligue 1,2025-2026,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Michael Folorunsho,Cagliari,Serie A,2025-2026,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,3,0
Michael Gregoritsch,Augsburg,Bundesliga,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Michael Kayode,Brentford,Premier League,2025-2026,45,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,8,0
Michael Keane,Everton,Premier League,2025-2026,24,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,1
Michael Olise,Bayern Munich,Bundesliga,2025-2026,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,8,0
Michael Zetterer,Eintracht Frankfurt,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Michel Aebischer,Pisa,Serie A,2025-2026,37,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,8,0
Michel Mboula,Metz,Ligue 1,2025-2026,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Michel Ndary Adopo,Cagliari,Serie A,2025-2026,31,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,4,0
Michele Collocolo,Cremonese,Serie A,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Michele Di Gregorio,Juventus,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Michy Batshuayi,Eintracht Frankfurt,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Mick Schmetgens,Werder Bremen,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Micky van de Ven,Tottenham Hotspur,Premier League,2025-2026,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,8,1
Miguel Calatayud,Mallorca,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Miguel Cubo,Atlético Madrid,La Liga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Miguel Gutiérrez,Napoli,Serie A,2025-2026,22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0
Miguel Román,Celta Vigo,La Liga,2025-2026,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Miguel Ángel Rubio,Espanyol,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Miguel Ángel Sierra,Sevilla,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Mihailo Ristić,Celta Vigo,La Liga,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mika Biereth,Monaco,Ligue 1,2025-2026,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0
Mikael Ellertsson,Genoa,Serie A,2025-2026,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1
Mikayil Ngor Faye,Cremonese,Serie A,2025-2026,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Mikayil Ngor Faye,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mike Maignan,Milan,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0
Mike Penders,Strasbourg,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
Mike Trésor,Burnley,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mikel Goti,Real Sociedad,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Mikel Jauregizar,Athletic Club,La Liga,2025-2026,42,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,6,1
Mikel Merino,Arsenal,Premier League,2025-2026,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0
Mikel Oyarzabal,Real Sociedad,La Liga,2025-2026,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,0
Mikel Vesga,Athletic Club,La Liga,2025-2026,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Mikkel Damsgaard,Brentford,Premier League,2025-2026,34,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0
Mikkel Kaufmann,Heidenheim,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Milan Đurić,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Milan Đurić,Parma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Mile Svilar,Roma,Serie A,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Milos Kerkez,Liverpool,Premier League,2025-2026,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Mio Backhaus,Werder Bremen,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Miro Muheim,Hamburger SV,Bundesliga,2025-2026,35,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,7,1
Mitchel Bakker,Atalanta,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mohamadou Kanté,West Ham United,Premier League,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
Mohamed Ali Cho,Nice,Ligue 1,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0
